product_id,bank_name,product_name,interest_rate,loan_amount_min,loan_amount_max,loan_term,repayment_method,guarantee_type,target_customer,application_mode,approval_speed,remark
M001,民生银行,民生惠信用贷A,3.20%,,300,最长5年,随借随还,信用,普惠小微企业,线上申请/手机APP,审批快,主动授信；线上审批最高300万元；线下审批最高1000万元；扫码即可申贷
M002,民生银行,民生惠信用贷B,3.20%,,300,最长5年,随借随还,信用,普惠小微企业,线上申请,智能决策/动态提额,主动授信；动态提额；续贷服务；线上审批最高300万元；线下审批最高1000万元
M003,民生银行,民生惠焕新贷,3.20%,,,,,,贷款焕新客户/小微企业,扫码申请,,融资新主张；新年要焕新；产品咨询及办理详询客户经理
M004,民生银行,民生惠链A,3.20%,,300,最长5年,随借随还,无需核心企业确权或担保,与核心企业建立合作关系的上下游小微企业,扫码申请,,主动授信；轻松相“链”；适合供应链上下游小微企业
M005,民生银行,民生惠抵押贷,3.00%,,3000,最长10年,随借随还,抵押,有房产抵押融资需求的小微企业,线上申请/在线授权/线上签约,自动审批,数据赋能；系统决策；自动审批；线上办抵；线上支用
M006,民生银行,民生订货快贷,,,500,,随借随还/循环使用,免担保/信用贷款/无抵无押,订货场景小微企业,线上化/便捷申请/自动审批,自动审批,循环用；500万额度；线上化；适用于订货融资场景
M007,民生银行,民生供货快贷,,,300,,随借随还,免担保/信用贷款/无抵质押,企业上游供应商,全线上,自动审批/快速放款,企业上游供应商专享贷款产品；全线上；最高额度300万元
M008,民生银行,民生惠信用贷C,3.20%,,,,随借随还,信用,新审批且签约客户,扫码申贷,,民生惠信用贷活动版；新审批且签约客户可享免10天利息
M009,民生银行,国补惠贷,3.20%,,1000,最长5年,随借随还,信用授信或更多灵活担保方式,适合家电数码等消费补贴政策参与企业,扫码申请,,主动授信；线上审批最高300万元；线下审批最高1000万元
M010,民生银行,民生惠金,3.20%,,1000,最长5年,随借随还,信用授信或质押等担保授信,我行财富客户经营备用专属授信,扫码申请,,主动授信；备感从“融”
M011,民生银行,民生惠信用贷D,3.20%,,300,最长5年,随借随还,信用,石油供应链企业,扫码申贷,,石油供应链企业专属；主动授信；线上审批最高300万元；线下审批最高1000万元
M012,民生银行,民生惠薪,3.20%,,1000,最长5年,随借随还,信用授信或更多灵活担保方式,在我行代发薪资小微企业,扫码申请,,代发薪资小微企业尊享融资服务；线上审批最高300万元；线下审批最高1000万元
M013,民生银行,民生惠链B,3.20%,,1000,最长5年,随借随还,无需核心企业确权或担保,与核心企业建立合作关系的上下游小微企业,扫码申请,,主动授信；轻松相“链”
M014,民生银行,民生惠盈,3.20%,,1000,最长5年,随借随还,信用授信或更多灵活担保方式,在我行结算流水充盈的小微企业,扫码申请,,主动授信；流水生金；线上审批最高300万元；线下审批最高1000万元
M015,民生银行,民生惠科,3.20%,,1000,最长5年,随借随还,信用授信或灵活担保,科创型小微企业,扫码申请,,科创专属；线上审批最高300万元；线下审批最高1000万元；更适合科创型小微企业
